rfid,sex,cohort,coatcolor,dd_housing_box,dd_order_in_box,dd_squad_num,dd_box_color,dd_operant_box,dd_indiff_0,dd_indiff_2,dd_indiff_4,dd_indiff_8,dd_indiff_16,dd_indiff_24
933000320045751,M,C02,BROWNHOOD,40,2,4,blue,8,119.209797777778,111.186215833333,70.9307733333333,49.2058146666666,22.2863333333333,30.258215
933000320045756,F,C02,BLACK,54,2,5,blue,12,96.0756802777777,82.6943433333333,71.2457936666666,62.43185,37.1524219444444,31.230381
933000320045757,F,C02,BROWNHOOD,18,2,2,blue,12,119.422220666667,57.0936708333333,58.9463477777778,43.2841752777777,42.0589288888889,29.9088616666667
933000320045759,F,C02,BROWNHOOD,52,2,5,blue,8,160.290938888889,112.420497222222,129.011266944444,69.6140726666666,31.8102272222222,26.974896
933000320045760,M,C02,BROWN,39,2,4,blue,6,184.36821,141.342536111111,97.8695293333333,90.6022270833333,45.6857786666666,31.55022
933000320045761,F,C02,BROWN,55,1,5,blue,13,141.181913888889,119.267019444444,117.324494444444,69.0359330555555,48.1811452777778,27.7296196666667
933000320045766,F,C02,BROWN,18,1,2,blue,11,197.535216666667,183.7041375,107.196761388889,87.8904722222222,46.5849619444444,32.3437941666666
933000320045768,F,C02,BLACKHOOD,55,2,5,blue,14,140.609697222222,95.4648138888888,56.3432638888889,42.5844647222222,32.8500553333333,27.8835158333333
933000320045769,F,C02,BLACKHOOD,54,1,5,blue,11,124.060588888889,114.423255555555,70.9453297222222,75.0928966666666,43.7560030555555,36.5807072222222
933000320045772,F,C02,BROWN,17,2,2,blue,10,155.186163888889,98.0496269999999,73.8094247222222,37.7261444444444,32.0516625,29.3496955555555
933000320045803,F,C02,ALBINO,5,1,1,blue,9,275.085633333333,184.685438888889,126.27316,81.7559079999999,52.0920454166666,19.958315
933000320045804,M,C02,BROWNHOOD,24,2,2,red,8,169.516677777778,162.032686111111,91.3689472222222,74.0568833333333,38.8906555555555,27.7023138888889
933000320045812,F,C02,BROWNHOOD,41,2,4,blue,10,106.334420833333,125.696425833333,82.8077827777777,97.5589261111111,21.7005641666666,40.7448383333333
933000320045821,F,C02,BLACK,20,1,2,blue,15,140.064585555555,105.525788333333,56.8150916666666,37.8470126666666,27.3032680555555,19.963736
