rfid,Sex,Squad #,ChamberColor,ChamberNumber,DelayLever,Shipment,3-cleaning-criteria (jeab paper),ObjectiveAUC-normD,Hyperbolic-k-FittedBias,Hyperbolic-k-ln,Exponential-k-FittedBias,Exponential-k-ln
45877,M,6,blue,5,right,1,0,0.957631864,0.083693491,-2.480594067,0.059933349,-2.814522185
45878,M,6,blue,7,right,1,0,0.315916137,0.586409094,-0.533737621,0.303845469,-1.191236032
45880,F,2,blue,11,right,1,0,0.430537409,0.078951755,-2.538918309,0.052933573,-2.938717492
45881,M,4,blue,9,right,1,0,0.321120185,0.387886912,-0.947041446,0.218198324,-1.522350886
45882,F,3,blue,9,left,1,0,0.326271753,0.06821634,-2.685071152,0.053475485,-2.928531947
45883,M,6,blue,6,left,1,0,0.375291759,0.189247743,-1.664698315,0.11519641,-2.161116694
45884,F,1,blue,8,right,1,1,0.53450084,0.022876078,-3.777663529,0.019736428,-3.925289214
45885,M,4,blue,10,left,1,0,0.519139667,0.186665517,-1.678436943,0.111042289,-2.197844166
45886,M,2,blue,6,left,1,0,0.504332529,0.110217643,-2.205298298,0.070680633,-2.649583675
45887,M,3,blue,6,right,1,0,0.370128005,0.054953629,-2.90126555,0.03983814,-3.222930547
45888,F,2,blue,12,left,1,0,0.357603766,0.125802324,-2.073043461,0.080474559,-2.519814177
45889,F,4,blue,15,right,1,1,0.379548248,0.323337399,-1.129058921,0.159099517,-1.838225381
45891,M,4,blue,7,right,1,0,0.236535157,0.715103413,-0.335328113,0.396453776,-0.925195826
45892,M,2,blue,16,left,1,0,0.489551603,0.245753713,-1.403425413,0.133424394,-2.014220299
45893,M,2,blue,14,left,1,0,0.45607255,0.121889486,-2.104640499,0.076107924,-2.57560289
45894,F,5,blue,4,right,1,0,0.926284931,0.082783394,-2.491527797,0.055105305,-2.898509291
45895,F,5,blue,10,right,1,0,0.62500477,0.066758977,-2.706666507,0.0428604,-3.14980696
45896,F,5,blue,3,left,1,0,0.507152257,0.2276629,-1.479889252,0.101030672,-2.292331127
45897,M,3,blue,5,left,1,0,0.51540573,0.132330354,-2.022453803,0.083133154,-2.487311689
45898,F,5,blue,7,left,1,0,0.293415306,0.287478544,-1.246607052,0.149547946,-1.900138228
45899,F,2,blue,7,right,1,0,0.374855151,0.210213271,-1.559632689,0.118105504,-2.136176955
45900,F,5,blue,8,right,1,0,0.429724399,0.185748598,-1.683361143,0.107035307,-2.234596527
45901,M,1,blue,6,right,1,1,0.508311889,0.328152878,-1.114275687,0.167617968,-1.786067889
45903,M,4,blue,6,left,1,0,0.442014788,0.186186635,-1.681005692,0.110342416,-2.204166879
45907,M,4,blue,12,left,1,0,0.588284076,0.142824327,-1.946139885,0.085249618,-2.462171639
45910,M,4,blue,11,right,1,0,0.361767674,0.139785636,-1.967645199,0.082374348,-2.496481196
45911,M,6,blue,8,left,1,1,0.521638514,0.093819204,-2.366385706,0.061353605,-2.791101342
45912,M,4,blue,8,left,1,0,0.349811915,0.211559823,-1.553247467,0.115287995,-2.160321974
45915,F,3,blue,10,right,1,0,0.659344518,0.169298652,-1.776090955,0.095739103,-2.346128468
45918,M,4,blue,5,right,1,0,0.406395973,0.169895768,-1.77257016,0.10875272,-2.2186786
45920,M,4,blue,2,left,1,0,0.485837884,0.206676815,-1.576598985,0.115453088,-2.158890999
45921,F,1,blue,7,left,1,0,0.409569099,0.223222067,-1.499588188,0.1293804,-2.044998373
45924,M,1,blue,3,left,1,1,0.482352382,0.099034823,-2.312283742,0.064477686,-2.741436067
45925,M,4,blue,1,right,1,0,0.531810278,0.180749206,-1.710644812,0.106029649,-2.244036515
46051,F,5,blue,1,left,1,0,0.438548777,0.148214402,-1.909095391,0.08696651,-2.442232175
46052,M,2,blue,9,right,1,0,0.402733619,0.209725229,-1.561957037,0.110814396,-2.199898584
46053,M,2,blue,13,right,1,0,0.362346862,0.255141627,-1.365936488,0.138465208,-1.977136192
46055,M,2,blue,5,right,1,0,0.454906617,0.149140728,-1.902864936,0.093557174,-2.369182548
46056,M,5,blue,5,left,1,0,0.486863635,0.077515504,-2.557277307,0.054523958,-2.909115081
46057,F,2,blue,8,left,1,0,0.405182104,0.231163542,-1.464629843,0.113636591,-2.174749723
46058,M,1,blue,1,left,1,0,0.394364867,0.185719118,-1.683519862,0.101958092,-2.283193412
46059,M,3,blue,11,left,1,0,0.387767755,0.207754979,-1.571395879,0.102511442,-2.277780855
