,rfid,sex,cohort,coatcolor,dd_housing_box,dd_order_in_box,dd_squad_num,dd_box_color,dd_operant_box,dd_s_or_ns,locomotor_cage,locomotor_t1_age,locomotor_t2_age,locomotor_fecal_boli_box,locomotor_fecal_boli_age_1,locomotor_fecal_boli_age_2,dd_indiff_0,dd_indiff_2,dd_indiff_4,dd_indiff_8,dd_indiff_16,dd_indiff_24,dd_hyperbolic_k,dd_hyperbolic_lnk,dd_hyperbolic_b,dd_auc_trad,dd_auc_norm0,dd_quasi_h_k_beta,dd_quasi_h_s_delta,dd_expon_k,locomotor_t1_total_distance,locomotor_t1_rest_time,locomotor_t1_rest_episode_count,locomotor_t1_movement_episode_count,locomotor_t1_vertical_activity_count,locomotor_t1_center_time_legacy,locomotor_t2_total_distance,locomotor_t2_rest_time,locomotor_t2_rest_episode_count,locomotor_t2_movement_episode_count,locomotor_t2_vertical_activity_count,locomotor_t2_center_time_legacy,locomotor_fecal_boli_1,locomotor_fecal_boli_2,locomotor_fecal_boli_change,regressedlr_dd_indiff_0,regressedlr_dd_indiff_2,regressedlr_dd_indiff_4,regressedlr_dd_indiff_8,regressedlr_dd_indiff_16,regressedlr_dd_indiff_24,regressedlr_dd_hyperbolic_k,regressedlr_dd_hyperbolic_lnk,regressedlr_dd_hyperbolic_b,regressedlr_dd_auc_trad,regressedlr_dd_auc_norm0,regressedlr_dd_quasi_h_k_beta,regressedlr_dd_quasi_h_s_delta,regressedlr_dd_expon_k,regressedlr_locomotor_t1_total_distance,regressedlr_locomotor_t1_rest_time,regressedlr_locomotor_t1_rest_episode_count,regressedlr_locomotor_t1_movement_episode_count,regressedlr_locomotor_t1_vertical_activity_count,regressedlr_locomotor_t1_center_time_legacy,regressedlr_locomotor_t2_total_distance,regressedlr_locomotor_t2_rest_time,regressedlr_locomotor_t2_rest_episode_count,regressedlr_locomotor_t2_movement_episode_count,regressedlr_locomotor_t2_vertical_activity_count,regressedlr_locomotor_t2_center_time_legacy,regressedlr_locomotor_fecal_boli_1,regressedlr_locomotor_fecal_boli_2,regressedlr_locomotor_fecal_boli_change
0,933000320045751,M,C02,BROWNHOOD,40.0,2.0,4.0,blue,8.0,s,4.0,76.0,77.0,40.0,76.0,77.0,119.209797777778,111.186215833333,70.9307733333333,49.2058146666666,22.2863333333333,30.258215,0.152785976241546,-1.87871718498553,0.794731985185185,0.31914804558642,0.40157946519801,0.81557060627816,0.905189207652952,0.142228573386234,4058.93,316.15,130.0,139.0,1667.0,221.18,3011.69,432.7,136.0,143.0,1168.0,63.77,1.0,0.0,-1.0,-0.954042535705769,-0.434294427278908,-1.02386166089355,-1.21293341333077,-1.85174464384804,-0.0936378705719023,0.265826710866567,0.265826710866567,-0.954042535705769,-1.48209587822312,-0.37525318670892,-0.448591026748857,-0.894381116504108,1.21293341333077,1.25834478651046,-0.200592161038666,-0.466720972203648,-0.440220484952901,1.15908167787936,0.208731065374422,1.08432799755596,-0.0199268216505944,-1.25834478651046,-1.12842258406707,0.225051016485159,-0.744986618868152,-0.703543655057722,-2.65368618160771,-0.239768724360219
1,933000320045756,F,C02,BLACK,54.0,2.0,5.0,blue,12.0,s,4.0,74.0,75.0,54.0,74.0,75.0,96.0756802777777,82.6943433333333,71.2457936666666,62.43185,37.1524219444444,31.230381,0.0838171473849672,-2.47911766969417,0.640504535185185,0.353314929861111,0.551619716102337,0.595001250179352,0.952806291851486,0.132028259965862,1669.6,509.62,141.0,141.0,868.0,10.54,1872.8,504.49,148.0,152.0,1109.0,15.39,0.0,0.0,0.0,-1.67100597872735,-1.27978123848571,-1.10621484177897,-0.448591026748857,-0.39588820874188,-0.113639202507205,-0.667178089033731,-0.667178089033731,-1.67100597872735,-0.982377007211542,0.804161593148402,-1.39490835184715,0.762683498771624,1.11342032372966,-1.51894701018036,1.88950996033343,0.23733019886823,-0.311833673190532,-1.69213607349355,-3.15776711139579,-0.907637164281146,1.09152998414627,-0.345485073719799,-0.431456156928572,-0.139933868126646,-1.78216836103315,-2.65422307841797,-2.82169422710145,-0.378022320584262
2,933000320045757,F,C02,BROWNHOOD,18.0,2.0,2.0,blue,12.0,s,4.0,74.0,75.0,18.0,74.0,75.0,119.422220666667,57.0936708333333,58.9463477777778,43.2841752777777,42.0589288888889,29.9088616666667,0.249251567690787,-1.38929258052792,0.796148137777777,0.312850148641975,0.392954694983283,0.409957636004491,0.971603770947572,0.243264085346176,4554.67,353.01,131.0,139.0,1703.0,151.58,3831.46,333.54,118.0,126.0,1135.0,54.23,0.0,0.0,0.0,-0.960196115051792,-2.17608387917362,-1.67100597872735,-1.70331402801797,-0.0254606939495703,-0.25540190652936,1.36465901014686,1.36465901014686,-0.960196115051792,-1.54470954866633,-0.529895451881666,-2.54686442730808,1.75539043759777,2.13686841464134,0.86051148700907,0.192466522845426,-0.462281906208327,-0.43583413618297,0.969544778249135,0.103798705478703,0.995373074756075,-1.24094412395767,-2.21112724108533,-2.21112724108533,-0.0997929010760929,-0.86051148700907,-2.3762823257272,-2.31340036685498,-0.369461936639859
3,933000320045759,F,C02,BROWNHOOD,52.0,2.0,5.0,blue,8.0,s,4.0,76.0,77.0,52.0,76.0,77.0,160.290938888889,112.420497222222,129.011266944444,69.6140726666666,31.8102272222222,26.974896,0.151993547901089,-1.88391720705595,1.06860625925926,0.431175436651234,0.403493272583036,0.987392227559789,0.921055282337756,0.08383637674358,5350.88,335.55,148.0,157.0,1569.0,110.57,3588.23,411.87,142.0,151.0,1350.0,93.32,0.0,0.0,0.0,0.174081716101805,-0.325311183419487,0.900202638377963,-0.0759724786099265,-0.913580151166487,-0.549678825694364,0.286043609854515,0.286043609854515,0.174081716101805,-0.160085160703099,-0.383818631878613,0.322737024347967,-0.514156100744534,0.0330904172766755,1.59955231920823,0.0278993230896937,0.643541471471839,0.771549054390448,0.525315232555291,-0.466720972203648,0.815223556792279,-0.0558203833913564,-0.782327281739902,-0.480093974808527,0.507102827911747,-0.0917860289108744,-2.21112724108533,-2.12676648312456,-0.360928542085188
4,933000320045760,M,C02,BROWN,39.0,2.0,4.0,blue,6.0,s,2.0,76.0,77.0,39.0,76.0,77.0,184.36821,141.342536111111,97.8695293333333,90.6022270833333,45.6857786666666,31.55022,0.17262113857714,-1.75665603635362,1.2291214,0.498878428348765,0.405882143414609,1.00806626892404,0.931036644559873,0.0705326596436017,1829.33,413.79,127.0,134.0,1297.0,454.05,1508.5,527.21,162.0,164.0,994.0,539.84,8.0,5.0,-3.0,0.609903904611337,0.421478223107546,-0.0837819320203352,0.871391596442143,0.370597291109629,0.0736739324831888,0.509718846907076,0.509718846907076,0.609903904611337,0.734508125616741,-0.290981873482267,0.326840110950636,-0.107242911450679,-0.657484296179197,-0.975940804609094,0.849026665402385,-0.614400484919193,-0.724109667073398,-0.22505101648516,1.48209587822312,-0.548329290564999,1.08432799755596,0.392412330042016,0.0797865833603882,-0.614400484919193,2.0244363169531,1.47024860300235,0.89456604772315,-0.98780449107111
5,933000320045761,F,C02,BROWN,55.0,1.0,5.0,blue,13.0,s,1.0,76.0,77.0,55.0,76.0,77.0,141.181913888889,119.267019444444,117.324494444444,69.0359330555555,48.1811452777778,27.7296196666667,0.109308545282442,-2.21358070494863,0.941212759259259,0.456186854259259,0.484679844988801,0.944831938664626,0.931181745202009,0.0781464353529241,4538.02,346.38,136.0,147.0,1553.0,108.21,3709.1,386.52,149.0,159.0,1332.0,91.26,0.0,0.0,0.0,-0.389096220891685,-0.132933815690812,0.509718846907076,-0.0915964985101993,0.283801506444949,-0.499452960409203,-0.225707953860159,-0.225707953860159,-0.389096220891685,0.11181537899168,0.366715185000079,0.107242911450679,-0.213745738136,-0.130763076369975,0.849026665402385,0.123854041043712,-0.143959321866744,0.0997929010760929,0.480093974808527,-0.489057100568528,0.93197131234319,-0.502576121383987,-0.286826941354616,-0.0677986154412357,0.471169254221571,-0.13188969182842,-2.12740644030774,-1.9654423899064,-0.352421349716879
6,933000320045766,F,C02,BROWN,18.0,1.0,2.0,blue,11.0,s,3.0,72.0,73.0,18.0,72.0,73.0,197.535216666667,183.7041375,107.196761388889,87.8904722222222,46.5849619444444,32.3437941666666,0.159247057162464,-1.83729846405719,1.31690144444444,0.532203189274691,0.404132892039776,1.32262351506867,0.906606372545789,0.0631994419691171,4666.24,300.94,129.0,134.0,1798.0,116.84,4396.46,395.99,164.0,173.0,1778.0,124.7,0.0,0.0,0.0,0.997910043460917,1.54287302756202,0.25374904545404,0.662323412789215,0.175180889624936,-0.0258649213783037,0.322737024347967,0.322737024347967,0.997910043460917,0.729299039101725,-0.345485073719799,1.22109595927896,-1.01080075595913,-0.624028763007631,0.956870246883342,-0.409687806155959,-0.552966764488624,-0.86051148700907,1.23238301842237,-0.39672003144116,1.51894701018036,-0.353957906672389,0.729299039101725,0.86051148700907,1.59955231920823,0.274391487860037,-1.99443141288806,-1.82189224274463,-0.343939587136227
7,933000320045768,F,C02,BLACKHOOD,55.0,2.0,5.0,blue,14.0,s,2.0,76.0,77.0,55.0,76.0,77.0,140.609697222222,95.4648138888888,56.3432638888889,42.5844647222222,32.8500553333333,27.8835158333333,0.272465531154722,-1.30024316405485,0.937397981481481,0.314002891944444,0.33497286973905,0.615147103995521,0.932661183269798,0.181681024004824,1858.67,465.74,149.0,152.0,1139.0,57.74,2435.73,403.95,153.0,161.0,1096.0,59.76,8.0,0.0,-8.0,-0.410175763363507,-0.864620206095042,-1.92405391272951,-1.92405391272951,-0.811310293944274,-0.485976077902234,1.48253214194721,1.48253214194721,-0.410175763363507,-1.51894701018036,-1.4941549086209,-1.24608574054808,-0.158295946010043,1.64035355167513,-1.36170520489978,1.36170520489978,0.693371709341444,0.431456156928572,-0.658317923323217,-1.39256297006655,-0.220965575942651,-0.204659918570476,-0.0278993230896937,0.107806176183568,-0.188408497693839,-0.760859721862499,1.93930484790457,-1.76225941447673,-2.44885255162934
8,933000320045769,F,C02,BLACKHOOD,54.0,1.0,5.0,blue,11.0,s,3.0,76.0,77.0,54.0,76.0,77.0,124.060588888889,114.423255555555,70.9453297222222,75.0928966666666,43.7560030555555,36.5807072222222,0.105510814503841,-2.2489418241741,0.827070592592592,0.420186478472222,0.508041855478233,0.743348709308779,0.947219771479942,0.0936629276428466,1914.47,426.34,144.0,148.0,848.0,41.64,2858.71,370.13,150.0,156.0,1177.0,60.1,0.0,0.0,0.0,-0.821273175956279,-0.264231076381053,-1.12800745629026,0.118994765167898,0.0254606939495703,0.305063932535461,-0.261796599498108,-0.261796599498108,-0.821273175956279,-0.295141835067149,0.548329290564999,-0.68183764911494,0.523061182912222,0.359870338590735,-1.23238301842237,1.01518867442312,0.498059689860862,0.156049960593895,-1.84400212913511,-1.96612148892947,0.18840849769384,-0.67824673906293,-0.212805674693294,-0.270255842848294,-0.0199268216505944,-0.73973721941389,-1.88950996033343,-1.70830578835784,-0.33548249615897
9,933000320045772,F,C02,BROWN,17.0,2.0,2.0,blue,10.0,s,2.0,74.0,75.0,17.0,74.0,75.0,155.186163888889,98.0496269999999,73.8094247222222,37.7261444444444,32.0516625,29.3496955555555,0.28711783784015,-1.24786256268051,1.03457442592593,0.325800733595679,0.314912804174618,0.697546165365889,0.92273782109319,0.157928360814571,4949.98,258.24,126.0,134.0,1333.0,119.98,4184.22,324.68,143.0,150.0,1307.0,133.41,0.0,0.0,0.0,0.060366983493738,-0.761522145688366,-0.985183056952866,-2.17669802731484,-0.895888156901532,-0.334376807588814,1.77385609573924,1.77385609573924,0.060366983493738,-1.37184630841564,-1.70905705431568,-0.929781026391375,-0.478931195164433,1.35484847520816,1.21552651612008,-1.05606614395134,-0.782327281739902,-0.849026665402385,-0.13188969182842,-0.316020060952124,1.32247647205542,-1.50643522070069,-0.67824673906293,-0.581047757280403,0.328612854561981,0.401035107131162,-1.8226099990667,-1.65891085002896,-0.327049332247511
